seed,method,cr,icr,pse,offer_rate,cost,budget_util,overspend,inc_sales,gross_sales
4115,geo,0.144375,0.01,6.288271570384628,0.043875,670.0,0.9970238095238095,0.0,4213.141952157701,57862.37117172952
4115,linucb,0.14175,0.007375,5.316321352924551,0.02575,671.0,0.9985119047619048,0.0,3567.251627812374,57216.480847384184
4115,no_budget,0.299,0.164625,3.865635627731346,0.710125,17444.0,25.958333333333332,16772.0,67432.1478901456,121081.37710971704
4115,nonspatial_budget,0.143,0.008625,5.4360061859609745,0.0235,672.0,1.0,0.0,3652.996156965775,57302.22537653756
4115,proposed,0.143375,0.009,5.810574609601564,0.018875,672.0,1.0,0.0,3904.706137652251,57553.935357224065
4115,static,0.139875,0.0055,3.651477464911201,0.1725,671.0,0.9985119047619048,0.0,2450.141378955416,56099.37059852721
4116,geo,0.135125,0.009625,5.84465736984943,0.0485,670.0,0.9970238095238095,0.0,3915.920437799118,52705.304060129216
4116,linucb,0.132625,0.007125,4.38180198765397,0.032875,671.0,0.9985119047619048,0.0,2940.189133715814,51729.57275604589
4116,no_budget,0.292125,0.166625,3.912434036665348,0.767375,16987.0,25.27827380952381,16315.0,66460.51698083426,115249.90060316412
4116,nonspatial_budget,0.133875,0.008375,5.493118002597576,0.023875,672.0,1.0,0.0,3691.3752977455715,52480.75892007564
4116,proposed,0.13375,0.00825,4.9588634939189715,0.01975,671.0,0.9985119047619048,0.0,3327.3974044196298,52116.78102674971
4116,static,0.129875,0.004375,2.628698129345542,0.19625,672.0,1.0,0.0,1766.485142920204,50555.86876525027
4117,geo,0.14325,0.008875,5.0523321902152984,0.045625,670.0,0.9970238095238095,0.0,3385.06256744425,55795.74036095456
4117,linucb,0.141625,0.00725,3.98118656596479,0.02775,672.0,1.0,0.0,2675.357372328339,55086.03516583866
4117,no_budget,0.297,0.162625,3.991909906433277,0.654375,16569.0,24.65625,15897.0,66141.95523969296,118552.63303320287
4117,nonspatial_budget,0.14275,0.008375,5.062706528857808,0.022625,671.0,0.9985119047619048,0.0,3397.076080863589,55807.75387437394
4117,proposed,0.143625,0.00925,5.639695519497028,0.018375,671.0,0.9985119047619048,0.0,3784.235693582506,56194.91348709281
4117,static,0.13825,0.003875,2.4443547956790144,0.172375,672.0,1.0,0.0,1642.6064226962976,54053.28421620665
4118,geo,0.1455,0.00875,5.3576770069773945,0.0495,670.0,0.9970238095238095,0.0,3589.6435946748543,57210.05347765582
4118,linucb,0.143125,0.006375,4.388565361600964,0.032,671.0,0.9985119047619048,0.0,2944.727357634247,56565.13724061522
4118,no_budget,0.2995,0.16275,3.984939441762089,0.736375,16380.0,24.375,15708.0,65273.30805606302,118893.71793904374
4118,nonspatial_budget,0.14425,0.0075,4.4961040189268155,0.027625,671.0,0.9985119047619048,0.0,3016.8857966998935,56637.29567968085
4118,proposed,0.144625,0.007875,4.410110117446455,0.016375,672.0,1.0,0.0,2963.593998924018,56584.00388190497
4118,static,0.1405,0.00375,2.4437209403093836,0.15725,672.0,1.0,0.0,1642.1804718879057,55262.590354868866
4119,geo,0.142125,0.007875,4.511508241758713,0.048125,670.0,0.9970238095238095,0.0,3022.7105219783375,57383.59526609334
4119,linucb,0.13975,0.0055,3.1141558505314526,0.0235,672.0,1.0,0.0,2092.712731557136,56453.59747567212
4119,no_budget,0.30075,0.1665,3.7833197708942423,0.7885,17573.0,26.15029761904762,16901.0,66484.27833392452,120845.16307803924
4119,nonspatial_budget,0.1405,0.00625,3.6573514311627466,0.02125,672.0,1.0,0.0,2457.7401617413657,56818.62490585632
4119,proposed,0.143375,0.009125,5.976364401584316,0.027625,672.0,1.0,0.0,4016.1168778646606,58377.001621979645
4119,static,0.13975,0.0055,3.420991303765489,0.15675,672.0,1.0,0.0,2298.906156130409,56659.79090024538
4120,geo,0.14275,0.0095,5.8649281394832,0.048875,670.0,0.9970238095238095,0.0,3929.501853453744,57077.989502271375
4120,linucb,0.1405,0.00725,4.375652354230957,0.0345,671.0,0.9985119047619048,0.0,2936.062729688972,56084.550378506574
4120,no_budget,0.292375,0.159125,3.5730578076466464,0.77425,17718.0,26.366071428571427,17046.0,63307.43823588328,116455.9258847008
4120,nonspatial_budget,0.140625,0.007375,4.121107672612394,0.0335,671.0,0.9985119047619048,0.0,2765.2632483229163,55913.75089714051
4120,proposed,0.142125,0.008875,5.345532267567733,0.02475,671.0,0.9985119047619048,0.0,3586.852151537949,56735.33980035556
4120,static,0.138125,0.004875,3.2148019761870694,0.16475,671.0,0.9985119047619048,0.0,2157.1321260215236,55305.619774839135
